:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	111	1	131,4592	284,7618	382,0204	130,576	185,3483	380,4471	130,5616	284,3774	380,6347	119,8164	233,073	402,5013	126,4331	232,8127	401,9806	
Darkorange	Dot	113	1	79,3961	296,2373	362,291	99,4441	197,0909	355,1555	78,6044	299,2151	355,8423	74,9797	244,7133	372,2186	80,2023	244,9335	372,734	
Darkorange	Dot	114	1	199,6492	257,4271	381,501	178,338	149,6685	381,5231	199,2048	259,2003	376,0987	175,2922	205,9156	398,6885	183,2858	205,8336	399,4267	
Darkorange	Dot	117	1	193,2469	274,2818	363,6083	175,5068	168,8724	366,7915	190,6544	276,3027	360,2064	175,3029	223,1064	389,8425	182,9233	222,1265	386,3105	
Darkorange	Dot	118	1	170,2362	262,7793	383,7183	158,8813	166,7034	380,9415	166,7013	264,7567	378,519	151,6799	214,2591	403,5879	159,7694	213,8761	400,9641	
Darkorange	Dot	120	1	94,4163	301,788	367,6586	111,2025	202,1422	365,5701	91,7442	303,8123	363,1936	86,2821	250,1159	381,5786	94,0882	250,2033	380,5167	
Darkorange	Dot	127	1	95,6903	301,8498	366,1964	113,4177	203,3947	364,7941	92,6024	303,2808	359,7434	89,4589	250,0104	382,8142	94,4924	250,5555	382,0568	
Darkorange	Dot	128	1	93,7678	299,9378	365,1902	121,981	202,5759	360,8338	90,4994	302,9124	360,1464	89,8746	248,5107	379,8689	98,7973	250,6577	379,2886	
Darkorange	Dot	130	1	110,9442	302,4504	362,577	123,9638	207,5265	362,0891	108,3053	304,4775	358,872	101,4818	253,2629	378,6687	108,2753	254,4464	377,2727	
Darkorange	Dot	133	1	159,9776	272,9363	377,4659	157,8409	172,134	378,8191	155,5548	276,2394	373,2584	145,6867	223,3872	396,3977	153,4704	223,7673	395,8228	
Darkorange	Dot	139	1	-217,4435	-220,5004	278,2663	-150,8015	-133,3389	278,905	-215,4852	-224,8658	280,3248	-180,3549	-181,4714	301,9553	-186,0936	-176,7817	296,0647	
Darkorange	Dot	140	1	-194,3736	-232,5312	281,3175	-156,7872	-142,9137	278,4248	-193,0131	-236,1429	281,0036	-169,9349	-190,293	304,0396	-174,143	-188,3072	300,4143	
Darkorange	Dot	141	1	-207,6904	-241,1775	280,8371	-159,5841	-145,9983	278,9776	-207,1251	-243,8023	280,026	-173,8801	-198,2571	304,6457	-179,042	-196,2385	301,371	
Darkorange	Dot	142	1	-219,6734	-187,1488	285,8895	-172,0709	-98,2609	296,3182	-217,044	-191,1705	286,6831	-194,083	-146,5077	317,652	-199,5604	-142,5064	312,0322	
Darkorange	Dot	143	1	-200,4023	-216,1289	289,1059	-149,1483	-133,4178	281,7486	-196,8934	-221,0019	290,4922	-168,4792	-175,7221	307,4993	-173,6662	-172,4124	302,6067	
Darkorange	Dot	145	1	-204,6915	-220,5622	291,0935	-159,1568	-134,0974	281,9908	-202,5333	-224,3661	292,9444	-175,9146	-178,7749	308,4133	-180,7592	-175,9753	303,6405	
Darkorange	Dot	146	1	-202,1974	-203,2267	285,1211	-151,4081	-118,8174	268,7218	-201,5339	-205,9216	285,782	-171,0089	-159,5266	301,5443	-177,7552	-155,8571	295,6483	
Darkorange	Dot	147	1	-214,5188	-217,7812	271,3952	-167,1206	-132,679	268,0442	-212,6483	-222,2212	271,7062	-183,7991	-178,6868	293,6459	-190,3816	-175,4849	290,5457	
Darkorange	Dot	148	1	-245,053	-173,0639	280,8593	-191,5444	-87,5751	273,4549	-242,3176	-176,8491	280,7193	-210,6777	-133,7389	303,4085	-216,5866	-130,0781	300,1546	
