Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);C;Right;Superior;16.7;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);Pm3;Right;Superior;10.8;14.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);Pm4;Right;Superior;9;14.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);M1;Right;Superior;13.7;15
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);M2;Right;Superior;13.6;16.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;67325;Male;Original (Mahler);M3;Right;Superior;13.5;16.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I1;Left;Inferior;8.7;9.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I2;Left;Inferior;9.2;10
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);C;Left;Inferior;9.2;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm3;Left;Inferior;9.5;14.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm4;Left;Inferior;11.2;11.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M1;Left;Inferior;12.6;11.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M2;Left;Inferior;13.1;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M3;Left;Inferior;13;11.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I1;Right;Inferior;8.7;9.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I2;Right;Inferior;9;10
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);C;Right;Inferior;9;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm3;Right;Inferior;9.5;14.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm4;Right;Inferior;10.8;11.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M1;Right;Inferior;12.5;11.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M2;Right;Inferior;13.2;12.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M3;Right;Inferior;13;12.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I1;Left;Superior;12.5;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I2;Left;Superior;8.8;8.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);C;Left;Superior;12.2;10.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm3;Left;Superior;10;13.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm4;Left;Superior;8.8;13
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M1;Left;Superior;11.4;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M2;Left;Superior;11.5;13.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M3;Left;Superior;10.7;13.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I1;Right;Superior;12.8;11.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);I2;Right;Superior;8.4;8.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);C;Right;Superior;12.3;11.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm3;Right;Superior;10;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);Pm4;Right;Superior;8.8;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M1;Right;Superior;11.3;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M2;Right;Superior;11.6;13.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;97664;Female;Original (Mahler);M3;Right;Superior;11;13.7
Pan troglodytes;Peabody;6906;male;Original (Mahler);I1;Left;Inferior;7,2;9
Pan troglodytes;Peabody;6906;male;Original (Mahler);I2;Left;Inferior;8,3;10,1
Pan troglodytes;Peabody;6906;male;Original (Mahler);C;Left;Inferior;11,2;14
Pan troglodytes;Peabody;6906;male;Original (Mahler);Pm3;Left;Inferior;8,1;11,8
Pan troglodytes;Peabody;6906;male;Original (Mahler);Pm4;Left;Inferior;7,7;9,3
Pan troglodytes;Peabody;6906;male;Original (Mahler);M3;Left;Inferior;•;3,5
Pan troglodytes;Peabody;6906;male;Original (Mahler);I1;Right;Inferior;7,8;8,9
Pan troglodytes;Peabody;6906;male;Original (Mahler);C;Right;Inferior;11;13,6
Pan troglodytes;Peabody;6906;male;Original (Mahler);Pm3;Right;Inferior;8,1;12
Pan troglodytes;Peabody;6906;male;Original (Mahler);Pm4;Right;Inferior;9,3;8,7
Pan troglodytes;Peabody;6906;male;Original (Mahler);M1;Right;Inferior;11,4;10,6
Pan troglodytes;Peabody;6906;male;Original (Mahler);M2;Right;Inferior;11,6;10,4
Pan troglodytes;Peabody;6906;male;Original (Mahler);M3;Right;Inferior;10,4;9,1
Pan troglodytes;Peabody;6907;male;Original (Mahler);I1;Left;Inferior;8,6;6,6
Pan troglodytes;Peabody;6907;male;Original (Mahler);C;Left;Inferior;11,4;13,8
Pan troglodytes;Peabody;6907;male;Original (Mahler);Pm3;Left;Inferior;9,6;10,8
Pan troglodytes;Peabody;6907;male;Original (Mahler);Pm4;Left;Inferior;8,5;7
Pan troglodytes;Peabody;6907;male;Original (Mahler);I2;Right;Inferior;6,4;6,5
Pan troglodytes;Peabody;6907;male;Original (Mahler);C;Right;Inferior;11,3;13,7
Pan troglodytes;Peabody;6907;male;Original (Mahler);Pm4;Right;Inferior;9,4;8,7
Pan troglodytes;Peabody;6907;male;Original (Mahler);M1;Right;Inferior;11,9;9,4
Pan troglodytes;Peabody;6907;male;Original (Mahler);M2;Right;Inferior;11;10,7
Pan troglodytes;Peabody;6907;male;Original (Mahler);M3;Right;Inferior;10,6;9,4
Pan troglodytes;Peabody;6907;male;Original (Mahler);Pm3;Left;Superior;9,4;10,2
Pan troglodytes;Peabody;6907;male;Original (Mahler);Pm4;Right;Superior;8,7;10,4
Pan troglodytes;Peabody;6907;male;Original (Mahler);M1;Right;Superior;11,1;11,1
Pan troglodytes;Peabody;6907;male;Original (Mahler);M2;Right;Superior;10,5;10,9
Pan troglodytes;Peabody;6907;male;Original (Mahler);M3;Right;Superior;8,4;9,8
Pan troglodytes;Peabody;6908;female;Original (Mahler);I1;Left;Inferior;7,9;8,4
Pan troglodytes;Peabody;6908;female;Original (Mahler);I2;Left;Inferior;8,9;8,8
Pan troglodytes;Peabody;6908;female;Original (Mahler);C;Left;Inferior;9;11,5
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm3;Left;Inferior;6,7;10,9
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm4;Left;Inferior;7,7;8,3
Pan troglodytes;Peabody;6908;female;Original (Mahler);I1;Right;Inferior;7,4;8,6
Pan troglodytes;Peabody;6908;female;Original (Mahler);C;Right;Inferior;8,6;11,6
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm3;Right;Inferior;7;10,5
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm4;Right;Inferior;9,3;8,5
Pan troglodytes;Peabody;6908;female;Original (Mahler);M1;Right;Inferior;10,5;9,6
Pan troglodytes;Peabody;6908;female;Original (Mahler);M2;Right;Inferior;10,4;10,2
Pan troglodytes;Peabody;6908;female;Original (Mahler);M3;Right;Inferior;9,4;8,7
Pan troglodytes;Peabody;6908;female;Original (Mahler);M1;Left;Superior;8,8;10,3
Pan troglodytes;Peabody;6908;female;Original (Mahler);M3;Left;Superior;9,4;8,4
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm3;Right;Superior;8,1;10,3
Pan troglodytes;Peabody;6908;female;Original (Mahler);Pm4;Right;Superior;7,4;10
Pan troglodytes;Peabody;6908;female;Original (Mahler);M2;Right;Superior;8,9;8,7
Pan troglodytes;Peabody;6909;male;Original (Mahler);I1;Left;Inferior;8;9
Pan troglodytes;Peabody;6909;male;Original (Mahler);I2;Left;Inferior;10,2;9,6
Pan troglodytes;Peabody;6909;male;Original (Mahler);C;Left;Inferior;12,7;15,4
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm3;Left;Inferior;8,4;11,3
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm4;Left;Inferior;8,1;9
Pan troglodytes;Peabody;6909;male;Original (Mahler);I1;Right;Inferior;7,7;8,7
Pan troglodytes;Peabody;6909;male;Original (Mahler);I2;Right;Inferior;9,4;9,5
Pan troglodytes;Peabody;6909;male;Original (Mahler);C;Right;Inferior;12,6;14,9
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm3;Right;Inferior;8,1;11,1
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm4;Right;Inferior;8,3;8,9
Pan troglodytes;Peabody;6909;male;Original (Mahler);M1;Right;Inferior;11,6;8,8
Pan troglodytes;Peabody;6909;male;Original (Mahler);M2;Right;Inferior;9,7;9,1
Pan troglodytes;Peabody;6909;male;Original (Mahler);M3;Right;Inferior;8,8;7,7
Pan troglodytes;Peabody;6909;male;Original (Mahler);M1;Left;Superior;10,4;11,4
Pan troglodytes;Peabody;6909;male;Original (Mahler);M2;Left;Superior;8,9;8,8
Pan troglodytes;Peabody;6909;male;Original (Mahler);M3;Left;Superior;7,9;8
Pan troglodytes;Peabody;6909;male;Original (Mahler);I1;Right;Superior;10,4;11,5
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm3;Right;Superior;8,1;10
Pan troglodytes;Peabody;6909;male;Original (Mahler);Pm4;Right;Superior;7,3;10
Pan troglodytes;Peabody;6910;female;Original (Mahler);M1;Left;Inferior;10,9;10,9
Pan troglodytes;Peabody;6910;female;Original (Mahler);M3;Left;Inferior;9,2;8
Pan troglodytes;Peabody;6910;female;Original (Mahler);Pm3;Left;Inferior;8,2;10,9
Pan troglodytes;Peabody;6910;female;Original (Mahler);Pm4;Left;Inferior;8,2;9,6
Pan troglodytes;Peabody;6910;female;Original (Mahler);M2;Right;Inferior;11;10,2
Pan troglodytes;Peabody;6910;female;Original (Mahler);Pm3;Right;Superior;8,1;10,8
Pan troglodytes;Peabody;6910;female;Original (Mahler);Pm4;Right;Superior;7,5;10,6
Pan troglodytes;Peabody;6910;female;Original (Mahler);M1;Right;Superior;11,4;11,7
Pan troglodytes;Peabody;6910;female;Original (Mahler);M2;Right;Superior;10;11
Pan troglodytes;Peabody;6910;female;Original (Mahler);M3;Right;Superior;8,5;8,7
Pan troglodytes;Peabody;6911;female;Original (Mahler);I1;Right;Inferior;10,5;7,3
Pan troglodytes;Peabody;6911;female;Original (Mahler);Pm3;Right;Inferior;8,8;9,8
Pan troglodytes;Peabody;6911;female;Original (Mahler);Pm4;Right;Inferior;8,3;9,5
Pan troglodytes;Peabody;6911;female;Original (Mahler);M1;Right;Inferior;11,1;9,5
Pan troglodytes;Peabody;6911;female;Original (Mahler);M2;Right;Inferior;11,6;9,8
Pan troglodytes;Peabody;6911;female;Original (Mahler);M3;Right;Inferior;9,3;7,9
Pan troglodytes;Peabody;6911;female;Original (Mahler);Pm4;Left;Superior;7,7;10,3
Pan troglodytes;Peabody;6911;female;Original (Mahler);M3;Left;Superior;9,3;10,9
Pan troglodytes;Peabody;6911;female;Original (Mahler);I1;Right;Superior;11;11,3
Pan troglodytes;Peabody;6911;female;Original (Mahler);Pm3;Right;Superior;9,3;10
Pan troglodytes;Peabody;6911;female;Original (Mahler);M1;Right;Superior;10,9;10,7
Pan troglodytes;Peabody;6911;female;Original (Mahler);M2;Right;Superior;10;9,2
Pan troglodytes;Peabody;6912;female;Original (Mahler);I1;Left;Inferior;6,6;8,9
Pan troglodytes;Peabody;6912;female;Original (Mahler);I2;Left;Inferior;8,4;9,8
Pan troglodytes;Peabody;6912;female;Original (Mahler);C;Left;Inferior;9,9;11,6
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm3;Left;Inferior;8,1;11,2
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm4;Left;Inferior;9;10,1
Pan troglodytes;Peabody;6912;female;Original (Mahler);M1;Left;Inferior;11,4;10,2
Pan troglodytes;Peabody;6912;female;Original (Mahler);M2;Left;Inferior;10,9;10,6
Pan troglodytes;Peabody;6912;female;Original (Mahler);M3;Left;Inferior;10;8,1
Pan troglodytes;Peabody;6912;female;Original (Mahler);I1;Right;Inferior;6,6;8,8
Pan troglodytes;Peabody;6912;female;Original (Mahler);I2;Right;Inferior;8,5;9,6
Pan troglodytes;Peabody;6912;female;Original (Mahler);C;Right;Inferior;8,7;11,6
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm3;Right;Inferior;7,4;11,4
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm4;Right;Inferior;8,6;9,1
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm3;Right;Superior;7,2;11
Pan troglodytes;Peabody;6912;female;Original (Mahler);Pm4;Right;Superior;7,8;10,9
Pan troglodytes;Peabody;6912;female;Original (Mahler);M1;Right;Superior;11,2;11,5
Pan troglodytes;Peabody;6912;female;Original (Mahler);M2;Right;Superior;10,4;11,3
Pan troglodytes;Peabody;6912;female;Original (Mahler);M3;Right;Superior;8,7;8,3
Pan troglodytes;Peabody;6913;male;Original (Mahler);I1;Left;Inferior;7,3;8,2
Pan troglodytes;Peabody;6913;male;Original (Mahler);I2;Left;Inferior;8,3;8,9
Pan troglodytes;Peabody;6913;male;Original (Mahler);C;Left;Inferior;10,1;12,5
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm3;Left;Inferior;6,6;9,4
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm4;Left;Inferior;7,6;8,9
Pan troglodytes;Peabody;6913;male;Original (Mahler);I1;Right;Inferior;7,5;8,1
Pan troglodytes;Peabody;6913;male;Original (Mahler);I2;Right;Inferior;8,4;8,8
Pan troglodytes;Peabody;6913;male;Original (Mahler);C;Right;Inferior;9,8;13,2
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm3;Right;Inferior;6,8;10,3
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm4;Right;Inferior;8,5;8,3
Pan troglodytes;Peabody;6913;male;Original (Mahler);M1;Right;Inferior;11,1;10,3
Pan troglodytes;Peabody;6913;male;Original (Mahler);M2;Right;Inferior;10;9,2
Pan troglodytes;Peabody;6913;male;Original (Mahler);M3;Right;Inferior;9,2;8,4
Pan troglodytes;Peabody;6913;male;Original (Mahler);I1;Right;Superior;8,6;10,6
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm3;Right;Superior;6,7;10
Pan troglodytes;Peabody;6913;male;Original (Mahler);Pm4;Right;Superior;6,8;10
Pan troglodytes;Peabody;6913;male;Original (Mahler);M1;Right;Superior;10,6;11,4
Pan troglodytes;Peabody;6913;male;Original (Mahler);M2;Right;Superior;9,7;9,2
Pan troglodytes;Peabody;6913;male;Original (Mahler);M3;Right;Superior;8,2;8,2
Pan troglodytes;Peabody;6914;female;Original (Mahler);Pm3;Right;Inferior;8,3;9,5
Pan troglodytes;Peabody;6914;female;Original (Mahler);Pm4;Right;Inferior;9;8,6
Pan troglodytes;Peabody;6914;female;Original (Mahler);M1;Right;Inferior;10,7;9,1
Pan troglodytes;Peabody;6914;female;Original (Mahler);M2;Right;Inferior;11,2;9,2
Pan troglodytes;Peabody;6914;female;Original (Mahler);M3;Right;Inferior;9,5;7,4
Pan troglodytes;Peabody;6914;female;Original (Mahler);Pm3;Right;Superior;7,6;10,6
Pan troglodytes;Peabody;6914;female;Original (Mahler);Pm4;Right;Superior;7,9;9,7
Pan troglodytes;Peabody;6914;female;Original (Mahler);M1;Right;Superior;10,6;9,1
Pan troglodytes;Peabody;6914;female;Original (Mahler);M2;Right;Superior;9,3;9,4
Pan troglodytes;Peabody;6915;male;Original (Mahler);I1;Left;Inferior;8;8,2
Pan troglodytes;Peabody;6915;male;Original (Mahler);I2;Left;Inferior;9,6;9,8
Pan troglodytes;Peabody;6915;male;Original (Mahler);C;Left;Inferior;10,3;12,7
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm3;Left;Inferior;7,7;11,1
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm4;Left;Inferior;7,7;8,4
Pan troglodytes;Peabody;6915;male;Original (Mahler);I1;Right;Inferior;7,7;7,8
Pan troglodytes;Peabody;6915;male;Original (Mahler);I2;Right;Inferior;9,4;8,7
Pan troglodytes;Peabody;6915;male;Original (Mahler);C;Right;Inferior;9,8;12,8
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm3;Right;Inferior;8;11,2
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm4;Right;Inferior;8,6;8,9
Pan troglodytes;Peabody;6915;male;Original (Mahler);M1;Right;Inferior;10,6;10,5
Pan troglodytes;Peabody;6915;male;Original (Mahler);M2;Right;Inferior;11,9;10,7
Pan troglodytes;Peabody;6915;male;Original (Mahler);M3;Right;Inferior;10,4;8,9
Pan troglodytes;Peabody;6915;male;Original (Mahler);M1;Left;Superior;10,6;11,4
Pan troglodytes;Peabody;6915;male;Original (Mahler);M3;Left;Superior;8,2;8,4
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm3;Right;Superior;9;9,6
Pan troglodytes;Peabody;6915;male;Original (Mahler);Pm4;Right;Superior;8;10,1
Pan troglodytes;Peabody;6915;male;Original (Mahler);M2;Right;Superior;11,1;10,9
Pan troglodytes;Peabody;6916;female;Original (Mahler);I1;Right;Inferior;10,8;8
Pan troglodytes;Peabody;6916;female;Original (Mahler);Pm3;Right;Inferior;7,4;11,2
Pan troglodytes;Peabody;6916;female;Original (Mahler);Pm4;Right;Inferior;8,5;9,5
Pan troglodytes;Peabody;6916;female;Original (Mahler);M1;Right;Inferior;11,4;9,8
Pan troglodytes;Peabody;6916;female;Original (Mahler);M2;Right;Inferior;10,8;8,7
Pan troglodytes;Peabody;6916;female;Original (Mahler);I1;Right;Superior;13,7;12,1
Pan troglodytes;Peabody;6916;female;Original (Mahler);Pm3;Right;Superior;8,6;10,3
Pan troglodytes;Peabody;6916;female;Original (Mahler);Pm4;Right;Superior;7,5;10,4
Pan troglodytes;Peabody;6916;female;Original (Mahler);M1;Right;Superior;11;10,2
Pan troglodytes;Peabody;6916;female;Original (Mahler);M2;Right;Superior;10,7;9,1
Pan troglodytes;Peabody;6917;male;Original (Mahler);Pm3;Right;Inferior;6,9;10,7
Pan troglodytes;Peabody;6917;male;Original (Mahler);Pm4;Right;Inferior;7,3;8,6
Pan troglodytes;Peabody;6917;male;Original (Mahler);M2;Right;Inferior;10,5;10,7
Pan troglodytes;Peabody;6917;male;Original (Mahler);M3;Right;Inferior;11,5;10,9
Pan troglodytes;Peabody;6917;male;Original (Mahler);Pm3;Right;Superior;8,1;10,1
Pan troglodytes;Peabody;6917;male;Original (Mahler);Pm4;Right;Superior;7,1;10,2
Pan troglodytes;Peabody;6917;male;Original (Mahler);M3;Right;Superior;9,9;10,6
Pan troglodytes;Peabody;6918;female;Original (Mahler);I1;Left;Inferior;8,6;8,6
Pan troglodytes;Peabody;6918;female;Original (Mahler);I2;Left;Inferior;9,6;9
Pan troglodytes;Peabody;6918;female;Original (Mahler);C;Left;Inferior;8,5;10,8
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm3;Left;Inferior;7,1;11,1
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm4;Left;Inferior;8,2;8,3
Pan troglodytes;Peabody;6918;female;Original (Mahler);I1;Right;Inferior;8,4;8,4
Pan troglodytes;Peabody;6918;female;Original (Mahler);I2;Right;Inferior;8,9;8,7
Pan troglodytes;Peabody;6918;female;Original (Mahler);C;Right;Inferior;8,2;10,9
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm3;Right;Inferior;7,2;11,1
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm4;Right;Inferior;8,8;8,3
Pan troglodytes;Peabody;6918;female;Original (Mahler);M1;Right;Inferior;10,1;9,4
Pan troglodytes;Peabody;6918;female;Original (Mahler);M2;Right;Inferior;10,8;9
Pan troglodytes;Peabody;6918;female;Original (Mahler);M3;Right;Inferior;9,6;7,7
Pan troglodytes;Peabody;6918;female;Original (Mahler);I1;Right;Superior;11,6;11,8
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm3;Right;Superior;8,3;9,9
Pan troglodytes;Peabody;6918;female;Original (Mahler);Pm4;Right;Superior;6,9;9,8
Pan troglodytes;Peabody;6918;female;Original (Mahler);M1;Right;Superior;10,4;10,5
Pan troglodytes;Peabody;6918;female;Original (Mahler);M2;Right;Superior;9,2;9,2
Pan troglodytes;Peabody;6918;female;Original (Mahler);M3;Right;Superior;8,3;8,2
Pan troglodytes;Peabody;6919;female;Original (Mahler);I1;Left;Inferior;7,4;8,5
Pan troglodytes;Peabody;6919;female;Original (Mahler);I2;Left;Inferior;9,1;9
Pan troglodytes;Peabody;6919;female;Original (Mahler);C;Left;Inferior;9,5;11,7
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm3;Left;Inferior;7,4;11
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm4;Left;Inferior;7,4;8,5
Pan troglodytes;Peabody;6919;female;Original (Mahler);I1;Right;Inferior;7,5;8,3
Pan troglodytes;Peabody;6919;female;Original (Mahler);I2;Right;Inferior;8,5;9
Pan troglodytes;Peabody;6919;female;Original (Mahler);C;Right;Inferior;8,6;11,8
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm3;Right;Inferior;7,7;10,5
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm4;Right;Inferior;8,2;8,5
Pan troglodytes;Peabody;6919;female;Original (Mahler);M1;Right;Inferior;10,4;8,7
Pan troglodytes;Peabody;6919;female;Original (Mahler);M2;Right;Inferior;11;9,2
Pan troglodytes;Peabody;6919;female;Original (Mahler);M3;Right;Inferior;9;8
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm3;Right;Superior;7,5;10
Pan troglodytes;Peabody;6919;female;Original (Mahler);Pm4;Right;Superior;6,7;9,8
Pan troglodytes;Peabody;6919;female;Original (Mahler);M1;Right;Superior;10,2;8,9
Pan troglodytes;Peabody;6919;female;Original (Mahler);M2;Right;Superior;9,2;8,5
Pan troglodytes;Peabody;6920;female;Original (Mahler);I1;Left;Inferior;6,7;8,5
Pan troglodytes;Peabody;6920;female;Original (Mahler);I2;Left;Inferior;9,2;9,1
Pan troglodytes;Peabody;6920;female;Original (Mahler);C;Left;Inferior;8,5;11,3
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm3;Left;Inferior;7,4;10,1
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm4;Left;Inferior;8,8;8,2
Pan troglodytes;Peabody;6920;female;Original (Mahler);I1;Right;Inferior;6,5;8,8
Pan troglodytes;Peabody;6920;female;Original (Mahler);I2;Right;Inferior;8,5;8,6
Pan troglodytes;Peabody;6920;female;Original (Mahler);C;Right;Inferior;8,6;11,1
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm3;Right;Inferior;7,4;10,3
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm4;Right;Inferior;8,5;9
Pan troglodytes;Peabody;6920;female;Original (Mahler);M1;Right;Inferior;10,9;9,2
Pan troglodytes;Peabody;6920;female;Original (Mahler);M2;Right;Inferior;10,9;9,2
Pan troglodytes;Peabody;6920;female;Original (Mahler);M3;Right;Inferior;8,7;7,7
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm3;Right;Superior;8,5;10,2
Pan troglodytes;Peabody;6920;female;Original (Mahler);Pm4;Right;Superior;7,6;10,2
Pan troglodytes;Peabody;6920;female;Original (Mahler);M1;Right;Superior;10;10,6
Pan troglodytes;Peabody;6920;female;Original (Mahler);M2;Right;Superior;9,9;9,5
Pan troglodytes;Peabody;6920;female;Original (Mahler);M3;Right;Superior;7,8;8,3
Pan troglodytes;Peabody;6921;female;Original (Mahler);I1;Left;Inferior;7,5;8,8
Pan troglodytes;Peabody;6921;female;Original (Mahler);I2;Left;Inferior;9,3;9,4
Pan troglodytes;Peabody;6921;female;Original (Mahler);C;Left;Inferior;8,9;11
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm3;Left;Inferior;7,6;10,3
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm4;Left;Inferior;8,1;9,2
Pan troglodytes;Peabody;6921;female;Original (Mahler);I1;Right;Inferior;7,2;8,5
Pan troglodytes;Peabody;6921;female;Original (Mahler);I2;Right;Inferior;9,6;10,3
Pan troglodytes;Peabody;6921;female;Original (Mahler);C;Right;Inferior;8,4;10,9
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm3;Right;Inferior;7,8;9,9
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm4;Right;Inferior;9,2;9,3
Pan troglodytes;Peabody;6921;female;Original (Mahler);M1;Right;Inferior;11,9;10,8
Pan troglodytes;Peabody;6921;female;Original (Mahler);M2;Right;Inferior;11,4;11,5
Pan troglodytes;Peabody;6921;female;Original (Mahler);M3;Right;Inferior;5;6,2
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm3;Right;Superior;8,4;10,3
Pan troglodytes;Peabody;6921;female;Original (Mahler);Pm4;Right;Superior;7,3;10,5
Pan troglodytes;Peabody;6921;female;Original (Mahler);M1;Right;Superior;11,1;11,8
Pan troglodytes;Peabody;6921;female;Original (Mahler);M2;Right;Superior;10,5;11,6
Pan troglodytes;Peabody;6921;female;Original (Mahler);M3;Right;Superior;8,8;8,7
Pan troglodytes;Peabody;6922;male;Original (Mahler);I1;Left;Inferior;7,9;8,9
Pan troglodytes;Peabody;6922;male;Original (Mahler);I2;Left;Inferior;8,5;9,4
Pan troglodytes;Peabody;6922;male;Original (Mahler);C;Left;Inferior;10,1;13,8
Pan troglodytes;Peabody;6922;male;Original (Mahler);Pm3;Left;Inferior;7,4;10,1
Pan troglodytes;Peabody;6922;male;Original (Mahler);Pm4;Left;Inferior;8,4;9,1
Pan troglodytes;Peabody;6922;male;Original (Mahler);I1;Right;Inferior;7,7;8,9
Pan troglodytes;Peabody;6922;male;Original (Mahler);I2;Right;Inferior;8,4;9,5
Pan troglodytes;Peabody;6922;male;Original (Mahler);C;Right;Inferior;10;13,3
Pan troglodytes;Peabody;6922;male;Original (Mahler);Pm3;Right;Inferior;7,5;11,5
Pan troglodytes;Peabody;6922;male;Original (Mahler);Pm4;Right;Inferior;8,6;9
Pan troglodytes;Peabody;6922;male;Original (Mahler);M1;Right;Inferior;11,3;9,6
