Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I2;Right;Inferior;8.3;10.1
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);C;Right;Inferior;10;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm3;Right;Inferior;10.1;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm4;Right;Inferior;9.9;11.5
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M1;Right;Inferior;12.7;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M2;Right;Inferior;13;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M3;Right;Inferior;13.5;12.7
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I1;Left;Superior;11.2;11.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I2;Left;Superior;8.2;8.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);C;Left;Superior;13.6;11.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm3;Left;Superior;9.2;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm4;Left;Superior;8.9;12.6
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M1;Left;Superior;12;13.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M2;Left;Superior;11.5;13.9
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M3;Left;Superior;10.3;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);C;Right;Superior;13.8;10.8
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm3;Right;Superior;9.5;13.1
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm4;Right;Superior;9.2;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M1;Right;Superior;11.5;13.4
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M2;Right;Superior;11.4;13.6
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M3;Right;Superior;10.9;13.3
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I1;Left;Inferior;8.4;10.7
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I2;Left;Inferior;9;10.9
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);C;Left;Inferior;13.6;16.9
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm3;Left;Inferior;9.8;14.9
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm4;Left;Inferior;10.3;11.8
